Label,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
Head,67.08,-0.007955103,1.240766,-7.844485,50.41397,299.3711,316.1375
Head,67.3,-0.02395824,1.238429,-7.848385,47.0117,298.418,313.4584
Head,67.52,-0.02072477,1.24407,-7.845538,47.08545,295.692,314.7703
Head,67.76,-0.01307762,1.246041,-7.847928,48.98884,296.1435,315.1521
Head,67.98,-0.01780048,1.242199,-7.847624,48.63094,296.2085,315.4099
Head,68.22,-0.02238929,1.243771,-7.847164,48.28883,296.7808,314.8896
Head,68.43999,-0.0150272,1.24618,-7.838994,51.26653,295.3263,320.3615
Head,68.68,-0.01678291,1.243883,-7.835969,58.58783,312.7818,335.7959
Head,68.9,-0.01461756,1.226646,-7.829883,63.16291,350.8325,14.27408
Head,69.14,0.006137431,1.209161,-7.816512,50.15863,49.27483,53.80162
Head,69.36,0.01434177,1.219878,-7.822824,50.74622,47.34815,52.35172
Head,69.58,-0.007041573,1.222798,-7.844372,59.45035,40.17519,50.62561
Head,69.82,-0.01916388,1.22532,-7.847112,60.53961,49.93748,50.31593
Head,70.04,-0.0003080666,1.22619,-7.837523,56.02106,38.94215,45.72871
Head,70.28,0.002869487,1.230978,-7.831388,59.0335,32.69695,37.7196
Head,70.5,0.0006994903,1.231625,-7.836399,64.12622,16.58958,25.3032
Head,70.74,0.001217872,1.230768,-7.836874,65.6346,5.207928,16.31505
Head,70.96,0.0001444817,1.221014,-7.835314,63.07245,2.351592,7.759236
Head,71.2,-0.03494197,1.250702,-7.843349,62.1356,19.87386,12.44671
Head,71.42,-0.08227971,1.27266,-7.851149,65.50765,54.87326,12.80271
Head,71.66,-0.1014699,1.281946,-7.84796,61.49594,77.03655,25.63762
Head,71.88,-0.1020108,1.280229,-7.841462,56.54983,80.10279,27.40684
Head,72.1,-0.1062496,1.283677,-7.841588,57.63138,75.47762,25.87154
Head,72.34,-0.09218401,1.27678,-7.838694,64.18435,67.78152,20.17782
Head,72.58,-0.07606959,1.266694,-7.840336,61.03966,81.48835,25.18787
Head,72.8,-0.06831983,1.258122,-7.840581,60.72076,83.90989,21.66284
Head,73.02,-0.06955445,1.255311,-7.83665,59.48555,85.10285,25.29237
Head,73.26,-0.06927422,1.258872,-7.836172,54.2554,86.65076,26.7338
Head,73.48,-0.06166005,1.260411,-7.838002,50.22494,89.01652,27.48241
Head,73.72,-0.05605817,1.257338,-7.843134,52.1011,88.42564,28.27147
Head,73.93999,-0.05424666,1.257101,-7.846578,50.70428,89.71301,28.54907
Head,74.16,-0.05417305,1.252216,-7.847528,50.18303,91.46563,30.4493
Head,74.4,-0.05749589,1.251137,-7.848535,50.73484,90.68445,30.66409
Head,74.64,-0.05919504,1.249012,-7.849365,51.08203,90.72069,30.78261
Head,74.86,-0.05957547,1.251966,-7.849878,49.68456,89.82402,29.5172
Head,75.08,-0.07107499,1.254494,-7.848742,52.96939,83.36815,25.46328
Head,75.32,-0.08427078,1.253878,-7.846663,53.97845,76.91717,24.90925
Head,75.54,-0.08708912,1.264002,-7.849021,41.3846,80.81554,25.63493
Head,75.78,-0.08882487,1.264228,-7.844533,46.4094,79.92974,23.42294
Head,76,-0.0816958,1.257796,-7.835719,46.92464,73.07264,11.00098
Head,76.22,-0.04594293,1.252383,-7.828164,37.56854,51.69901,12.24496
Head,76.46,-0.02597618,1.258555,-7.836041,34.57526,53.30035,14.20454
Head,76.7,-0.01666433,1.273578,-7.829793,29.64331,52.3424,5.042977
Head,76.92,-0.006234556,1.257495,-7.834764,32.49633,42.80707,9.157417
Head,77.16,0.01113907,1.225077,-7.808041,19.4384,26.1343,6.957344
Head,77.38,0.02941069,1.198102,-7.76408,6.327443,12.07519,5.022531
Head,77.62,0.02326086,1.187722,-7.778293,16.99334,12.34584,0.5236031
Head,77.84,0.03018266,1.162251,-7.774644,9.841812,8.960726,3.450821
Head,78.06,0.03336877,1.134316,-7.779741,0.2263034,3.629617,6.224647
Head,78.3,0.0353353,1.139814,-7.778644,5.460963,3.166376,2.759389
Head,78.54,0.03302217,1.137899,-7.780074,2.248286,4.785162,3.206168
Head,78.75999,0.02472058,1.086305,-7.755134,28.16347,355.7511,0.2428466
Head,79.08,0.4360134,1.675964,-7.493552,15.34469,272.8492,359.078
Head,79.3,-0.001463998,1.592293,-7.840208,18.6086,356.0372,354.9754
Head,79.52,0.0017558,1.585815,-7.834186,19.54841,357.0456,354.062
Head,79.74,-0.001014616,1.586428,-7.825528,18.57336,356.7062,356.3247
Head,79.96,-0.004020121,1.584204,-7.822258,19.0691,355.2159,355.231
Head,80.2,-0.007793411,1.581281,-7.823009,19.3526,353.0586,353.8953
Head,80.42,-0.01114882,1.58287,-7.825987,19.18104,352.4873,353.8927
Head,80.66,-0.01255611,1.584504,-7.827105,18.63649,353.1359,354.6364
Head,80.88,-0.01277268,1.58212,-7.826865,20.1569,352.6055,353.9466
Head,81.12,-0.01223145,1.582957,-7.825465,19.51402,353.561,355.2957
